Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
ʟᴇᴏ ᴠɪɴɪᴄɪᴜs,@leoviniciusp,2021-01-19T03:24:39.000Z,"Tome a vacina e você receberá até selo do Twitter. Cadê os padrões?! 
Tomou vacina, subiu de vida. 
#fimdostempos 
Olha aí ⁦
@profpaulamarisa
⁩",,https://pbs.twimg.com/media/EsEHz99WMAAzNgs?format=jpg&name=small,,,
Alexandre Balthazar VACINA JÁ,@AlexandreMB70,2021-01-19T03:24:25.000Z,"Em resposta a 
@Jeffedomingues2
 e 
@RachelSherazade",,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,,,1
𝓟𝓮𝓼𝓬𝓪𝓭𝓸𝓻 𝓭𝓮 𝓘𝓵𝓾𝓼õ𝓮𝓼,@GKurotake,2021-01-19T03:24:25.000Z,Tio Gabes depois de tomar vacina,"0:06
9 visualizações",https://pbs.twimg.com/ext_tw_video_thumb/1351369817861861378/pu/img/uyBocZBxbm5Auj2B.jpg,,,1
where is my vacina?,@deboni__,2021-01-19T03:24:25.000Z,"Em resposta a 
@leonelsr",Parabéns ,https://abs-0.twimg.com/emoji/v2/svg/1f388.svg,,,1
"Sami
/ RS1",@Rosiejchu,2021-01-19T03:24:19.000Z,Pq sinto que foi racista  ' enfermeira negra' porra qual é a complicação de chamar a mulher só de enfermeira que tomou a vacina... nunca vejo bota enfermeira branca ou algo que refria a uma pessoa branca,"Citar Tweet
Andreza Delgado
@andrezadelgado
 · 10 h
Ela fica mais legal a cada minuto 
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1348146194699137029/BJCGCl2X_mini.jpg,,,
boiolinha é um perigo,@henritheuss,2021-01-19T03:24:12.000Z,Eu vendo o pessoal no meu status compartilhando a vacina chegando no Barreto e eu só esperando para postar a foto de imunizadah,,https://pbs.twimg.com/media/EsEHtd4XcAMlmdM?format=jpg&name=small,,,
tia do pavê,@vforvelour,2021-01-19T03:24:10.000Z,Vovô é bolsonarista e não tá querendo tomar a vacina #pqp,"Citar Tweet
tia do pavê
@vforvelour
 · 1 h
O avô do marido vai ser vacinado na quarta! ",https://pbs.twimg.com/profile_images/1289113511940030465/9_UJSWOl_mini.jpg,,,
lala,@nosensecamren,2021-01-19T03:24:04.000Z,"uma já foi, o próximo é a vacina e dps a CNH","Citar Tweet
p𝘶t𝘢s𝘴o
@tallesfont
 · 5 h
Metas para 2021:
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1351361636922241028/qV47IFfl_mini.jpg,,,
CENÁRIO NEWS,@cenarionews,2021-01-19T03:23:59.000Z,"Governador Hélder Barbalho assiste o Boeing da Tam, que traz a vacina do Butantã, taxiar no Aeroporto Internacional de Belém.",,https://pbs.twimg.com/media/EsEHqX7XIAM3VG_?format=jpg&name=small,,,1
Alexandre Balthazar VACINA JÁ,@AlexandreMB70,2021-01-19T03:23:58.000Z,#ImpeachmentSalvaVidas,"Citar Tweet
Prof Sergio
@ProfSergioFS
 · 14 h
URGENTE: revelação bomba do Procurador Igor Spindola, sobre a causa da falta de oxigênio de resultou em várias mortes por asfixia em Manaus. Ministério da saúde interrompeu o transporte de oxigênio por 24h, o que levou à tragédia, aponta o procurador.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1140370147171078145/7Qcc09XA_mini.jpg,,,
Maria pronta pra tomar a vacina,@_maria_uai,2021-01-19T03:23:51.000Z,"Em resposta a 
@fernanandaft","Eu ando tão sem paciência que ia mandar tomar você pode imaginar onde 
 (preguiça de gente que caga regra até pro que o outro pode postar)",https://abs-0.twimg.com/emoji/v2/svg/1f631.svg,1,,1
𝖆𝖓𝖙𝖔𝖔𝖓𝖜𝖊𝖗𝖐 - VACINA JÁ,@antoonwerk,2021-01-19T03:23:51.000Z,"O mais revoltante não é nem esta decisão de agora, e sim o fato do babaca estar recorrendo da indenização ao guarda municipal que esse idiota seja condenado no 
@STJnoticias
 e pague. #DigaNaoACulturaDoEsquecimento","Gilmar Mendes suspende inquérito do desembargador da “carteirada” - Migalhas
Em 15 de janeiro, o magistrado iria depor, mediante intimação da PGR. O ministro Gilmar Mendes considerou o perigo de difícil reparação por não ter ocorrido intimação prévia do desembargador.
migalhas.uol.com.br",https://pbs.twimg.com/card_img/1351279669933465602/787W3OKr?format=jpg&name=small,,,
Rafael Viana,@RafaelVianaag,2021-01-19T03:23:46.000Z,Vai ter #vacina,GIF,https://pbs.twimg.com/tweet_video_thumb/EsEHmrFWMAUTAeW.jpg,,,
𝖈𝖆𝖗𝖔𝖑,@carol_carfon,2021-01-19T03:23:37.000Z,igual a vacina deixa eu penetrar seu corpo,"Citar Tweet
bonnie
@CoriVega7
 · 19 min
A melodia dessa música.... Thales Neves entenda você é tudo
0:29
434 visualizações",https://pbs.twimg.com/profile_images/1346552778093719556/gnfCZ_nQ_mini.jpg,,,1
lily loves vacina,@lilylovesyogurt,2021-01-19T03:23:14.000Z,"Em resposta a 
@hlsydriao",Ela é demais ,https://abs-0.twimg.com/emoji/v2/svg/2764.svg,,,
Manuela,@manuela_mourao,2021-01-19T03:23:12.000Z,Basta a vacina e a carteira de motorista que eu já estarei satisfeita.,"Citar Tweet
p𝘶t𝘢s𝘴o
@tallesfont
 · 5 h
Metas para 2021:
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1351361636922241028/qV47IFfl_mini.jpg,,,
VEM VACINA,@giovanna_santis,2021-01-19T03:23:10.000Z,Gente essa menina é..... chata,"Citar Tweet
𝕞 𝕠 𝕠 𝕟 𝕪
@ste_barretox
 · 17 de jan
Minha reação lendo a parte de história foi a mesma da Débora Aladim
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1331752158405009409/MhqqbK_g_mini.jpg,,,
cadê a vacina?,@_nelsoncezar,2021-01-19T03:23:02.000Z,Aqui mais detalhes sobre os primeiros imunizados no RS:,"Citar Tweet
Secretaria Municipal de Saúde de Porto Alegre
@saudepoa
 · 13 min
Conheça quem são eles:

Eloina Gonçalves Born, de 99 anos, moradora do Residencial Geriátrico Donna Care.

Jorge Amilton Hoher, Médico Chefe do serviço de Medicina Intensiva da Irmandade da Santa Casa de Misericórdia de Porto Alegre.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1300787562118774785/rSUg3YqZ_mini.jpg,,,
Vacina já,@ForaBol02299326,2021-01-19T03:23:00.000Z,"#QueremosImpeachment 
Queremos viver! Bolsonaro, tire o joelho de nossos pescoços.","Citar Tweet
Gaúcha colorada, petista com muito orgulho!!
@colorada_gaucha
 · 3 h
Muitas vidas poderiam ter sido salvas se o Bozo tivesse apenas se calado,no momento que mais precisamos de um rumo, ele só faz criar caos, confundir e desinformar!
#QueremosImpeachment 
@PTDemocracia",https://pbs.twimg.com/profile_images/1349120857730412544/AHYPvCVk_mini.jpg,,,1
VEM VACINA #nortepelonorte,@costaliliss,2021-01-19T03:22:59.000Z,"Não gosto de visita nem avisando, quanto mais sem avisar.","Citar Tweet
Denise Andrade
@deniseandrxde
 · 7 h
depois da adolescência não se visita a casa de ninguém de surpresa não galera.
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1347165458173227011/HB6rRDOj_mini.jpg,2,,2
Gabi,@gabictoledo,2021-01-19T03:22:58.000Z,"Os nego tretando no grupo pq não quer tomar vacina, aí me vem esse comentário HAHAHAHAHAH",,https://pbs.twimg.com/media/EsEHbJlW8AAJW6K?format=jpg&name=small,,,
à espera de uma vacina,@_bnadais,2021-01-19T03:22:50.000Z,Ué menina,"Citar Tweet
lila
@immimirose
 · 14 h
valha mulher pq tu ta preocupada com o dia que vai se vacinar se tu ja vivendo como se tivesse vacinada há meses",https://pbs.twimg.com/profile_images/1349107736756314117/jYTuureJ_mini.jpg,,,
Tamir VACINA JÁ,@tamir_rimat,2021-01-19T03:22:49.000Z,"É isso aí, com nossa pressão diária o impeachment de Bolsonaro tem tudo para ser agilizado. #ImpeachmentSalvaVidas","Citar Tweet
Vem Pra Rua Brasil
@VemPraRua_br
 · 17 min
A hashtag do dia é #ImpeachmentSalvaVidas

Você pode ajudar tuitando uma frase com a hashtag ou simplesmente clicando em ",https://pbs.twimg.com/profile_images/1317871271049297922/4SaE_Bu2_mini.jpg,,1,
larie,@lwtsolong,2021-01-19T03:22:45.000Z,"Em resposta a 
@eloobritto","real amg, o dia de tomar a vacina vai ser dia de festa lkkkkkkkk não sei de vou poder tomar já porque eu sou estudante ainda 
 apesar de fazer estágio né massss",https://abs-0.twimg.com/emoji/v2/svg/1f921.svg,1,,1
ClaudinhoEmerenciano,@ClaudioRAE,2021-01-19T03:22:40.000Z,Imagem marcante: A vacina aos pés do Cristo Redentor. Liberdade!,,https://pbs.twimg.com/media/EsEHWzHXUAEgCI3?format=jpg&name=small,,,2
Ivys Rodrigues,@IvysDantas,2021-01-19T03:22:39.000Z,"Habilitação tá ok, vacina tô aguardando e relacionamento estou a procura ","Citar Tweet
p𝘶t𝘢s𝘴o
@tallesfont
 · 5 h
Metas para 2021:
Mostrar esta sequência",https://pbs.twimg.com/profile_images/1351361636922241028/qV47IFfl_mini.jpg,,,
Tiago Caldas,@TiiagoCaldas,2021-01-19T03:22:36.000Z,"Chegada da vacina coronavac, na sede do 
@graerpmba
, em Salvador. 
Fotos: Tiago Caldas / 
@correio24horas
 
Imagens protegidas pela Lei do Direito Autoral Nº 9.610 de 12/02/1998. ©",,https://pbs.twimg.com/media/EsEHVLhXUAAZ6w4?format=jpg&name=360x360,,3,9
paulo henrique,@paulohausis,2021-01-19T03:22:30.000Z,"ainda não tomei a vacina de obviamente, mas estarei exatamente assim esperando a onda da coronavac bater para eu me transformar em jacaré. ",,https://pbs.twimg.com/media/EsEHUWjXUAIwlNV?format=jpg&name=small,,,
bolsa da sindel andrade,@oloboamargo,2021-01-19T03:22:27.000Z,Se você tá lendo ISSO dificilmente vai tomar vacina até parece que vão vacinar TWITEIRO...,,https://pbs.twimg.com/ext_tw_video_thumb/1351369359407673345/pu/img/IOvbhqETFYjl2lVY.jpg,,2,3
IVaVANA VACINA JÁ,@ivani_vana,2021-01-19T03:22:19.000Z,"Em resposta a 
@lobaoeletrico
 e 
@YouTube","No dia do #ImpeachmentBolsonaro 

Quero vc cantando muito pra nós 

""Eu quero é botar neu bloco na rua""
aí,vc põe umas pitadas de remix  rss 

Sucesso Lobão",https://abs-0.twimg.com/emoji/v2/svg/1f3b5.svg,,,
amanda?,@crf_mandyyy,2021-01-19T03:22:19.000Z,vocês comem o pastel do china mas não quer tomar a vacina,"Citar Tweet
acervo web diva tulla luana
@bestoftulla
 · 16 de jan
vamo parar de hipocrisia brasil
0:00
19,5 mil visualizações",https://pbs.twimg.com/profile_images/1265093957509398533/JTxhSOQE_mini.jpg,,,
V de Vacina (ou Neurinha),@verenaviu,2021-01-19T03:22:18.000Z,"Em resposta a 
@voltei_babies",Na verdade era em BH mas dei uma escapulida de uma tarde ,https://abs-0.twimg.com/emoji/v2/svg/1f61c.svg,2,,
