Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Alessandro Lo-Bianco,@Alessandrolb,2021-01-18T15:19:49.000Z,Não vejo a hora de tomar essa vacina!! ,,https://pbs.twimg.com/media/EsBh6N5XIAEd4l5?format=jpg&name=small,12,,63
Lidiane,@LidianePsi_,2021-01-19T00:51:46.000Z,"Louca pra receber a vacina e de quebra, o #ImpeachmentDeBolsonaroUrgente",,https://pbs.twimg.com/media/EsDk0WhXAAMYqd5?format=jpg&name=small,,,
Thiago Rosas,@thiago_rosas94,2021-01-19T00:53:38.000Z,"Eu voltando de Uber depois de ter tomado a vacina 
#vacina #covid #Bozo",,https://pbs.twimg.com/media/EsDlPX9W8AElA3X?format=jpg&name=900x900,,,
Fê,@FernandaLirius,2021-01-19T02:45:03.000Z,"#QueremosImpeachment

Já temos a vacina ! Falta o IMPEACHMENT!!!!!!!!!",,https://pbs.twimg.com/media/EsD-vyfXEAExetz?format=jpg&name=small,,,
Antonio Carlos Malton,@MaltonAc,2021-01-19T02:14:10.000Z,"Não fazer nada contra os ataques constantes contra a democracia que o governo de 
@jairbolsonaro
 faz e vem fazendo e o negacionismo contra a covid e a #vacina, farão de vcs cúmplices desta atual situação. 
@STF_oficial
 @exercitooficial
 @SenadoFederal
 @camaradeputados",,https://pbs.twimg.com/media/EsD3rgxXUAEZDnu?format=jpg&name=medium,,,
keli Cristina VACINA JÁ,@kelicrismor,2021-01-19T01:08:44.000Z,Que ódio...adoro essa série  #PeakyBlinders,"Citar Tweet
dih o finalista
@diego96mp
 · 7 h
Meu amigo me contando que a 6°temporado será a ultima dos #PeakyBlinders",https://pbs.twimg.com/profile_images/1349869824940404738/bQzcgDB0_mini.jpg,,,1
ana bia,@fahlceta,2021-01-19T01:44:21.000Z,anti vacina aqui não filha da puta #NovaFotoDoPerfil,,https://pbs.twimg.com/media/EsDw2vPXYAQdIHa?format=jpg&name=small,,,
julz in a world gone bonkers,@juliana29539584,2021-01-19T01:45:12.000Z,Prefiro opium  a vacina .. pelo menos um da p saber oque esperar  já a outra por ser obrigatória e  tão popular vai saber oque tem nessa merda. Nada muito q surgiu da noite pro dia presta . Seja vacina ou gente .,"Citar Tweet
NTD News
@news_ntd
 · 1 h
A new study points to #AlternativeTreatments to cure the #CCPvirus—ones not often published in the #MainstreamMedia. NTD’s France correspondent David Vives met with a doctor who’s facing #CensorshipOnSocialMedia for talking about them.

https://ntd.com/alternative-treatments-for-the-ccp-virus_554844.html…",https://pbs.twimg.com/profile_images/1250893372107227137/JxC3JaIy_mini.jpg,,,
Vacina Já para todo povo,@nuncaparedeler,2021-01-19T01:03:03.000Z,"Em resposta a 
@LuPsiAmbiental
 @EmersonAnomia
 e 
@butantanoficial",aaa vc mora em Florida!!! legal.  Aqui moro no interior de Sp ainda não chegou!!!!  to contando os dias ,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,1,,1
Lilith,@minnerva_,2021-01-19T02:44:14.000Z,Vem vacina... Vão o presidente e todos que se omitiram neste genocídio... #QueremosImpeachment,,https://pbs.twimg.com/media/EsD-j89W4AAMEKh?format=jpg&name=small,,,1
Bonner Fudido,@BonnerFudido,2021-01-19T01:08:21.000Z,"Olha o discurso de alegria desse filho da puta! Apesar da vacina? Vacina do Brasil, mas não era da China?? #impeachmentJa",,https://pbs.twimg.com/ext_tw_video_thumb/1351335615489568769/pu/img/8pJGKTc0Bt3f9gFR.jpg,,,
LONELY,@Aflone01,2021-01-19T01:19:02.000Z,#BrasilSufocado Sem oxigênio. Sem vacina. Sem governo.  Assine agora pelo impeachment!,"Brasil Sufocado
Sem oxigênio. Sem vacina. Sem governo. Assine pelo impeachment.
brasil-sufocado.bonde.org",https://pbs.twimg.com/card_img/1350144586707050499/Mvln_bJk?format=png&name=small,1,,
