Apelido,Username,Data/Hora,Respondendo,Texto,link_img,Comentarios,Retweets,Likes
Clínica e Imunológica São Luís,@e_clinica,2021-02-14T22:55:58.000Z,"A Clínica e Imunológica São Luís é totalmente a favor da imunização em massa do Brasil
Não deixe Fake News e ideologias políticas te influenciar neste momento, as vacinas são seguras e somente elas irão mitigar a circulação do vírus e nos possibilitar a volta a uma vida normal.",,https://pbs.twimg.com/media/EuONPiMXMAA6mGW?format=jpg&name=small,,,
@CriticaNata - Luto Pelo Brasil,@CriticaNata - Luto Pelo Brasil,2021-02-14T21:51:05.000Z,"A gt falou tanto a respeito.
@Joaodoriajunior
 e 
@brunocovas
 fazer retorno as aulas em época de pandemia é criminoso.
Não são somente os professores mas crianças TB estão em risco 
Quem pagará pelas vidas perdidas?
#aulasseguras 
#COVID19 
#coronavirus","Comentar o Tweet
Cambara™
@CCambara2
 · 14 de fev
Explodem casos de Covid-19 em professores que voltaram às aulas em São Paulo https://luizmuller.com/2021/02/12/explodem-casos-de-covid-19-em-professores-que-voltaram-as-aulas-em-sao-paulo/… via @luizmuller",https://pbs.twimg.com/profile_images/1056864969910902784/5SzdLJ3i_mini.jpg,,,
Amanda E Nicole,@ANSTLEK,2021-02-14T23:14:29.000Z,É só pq eu sei q vai dar positivo q ódio a Gabi ta cm Corona vo me mata eu te amo Gabi vai tomar no cu pq q esses adolescentes q vivem de resenha n pegam saporra e tu q só fica em casa vegetando e ouvindo bts pega??? Mano vsf q ódio,,https://pbs.twimg.com/media/EuORetXWYA0W82N?format=jpg&name=small,3,1,
Duda,@DUDA91s,2021-02-14T22:42:53.000Z,Corona seu idiota eu ia ver o harry sorrindo de chapeuzinho de sapo amarelo,,https://pbs.twimg.com/media/EuOKP0AXMA4g63C?format=jpg&name=small,,,1
vonivar,@vonivar,2021-02-14T21:46:33.000Z,OMS desmente versão do NYT de que a China não teria colaborado com investigações sobre origem do coronavírus http://dlvr.it/RsjCjB,,https://pbs.twimg.com/media/EuN9W0TUYAA7auT?format=jpg&name=small,,,
ANTONIO FERREIRA DE CARVALHO,@ANTONIO36175420,2021-02-14T22:58:31.000Z,Violência que mata e faz do Brasil um dos países com maiores números de mortes por assassinato. Mas o coronavírus também mata!,"Comentar o Tweet
Belém City.
@BelemCitty
 · 14 de fev
Em dois anos de Governo @helderbarbalho, o Pará lidera os melhores índices de Segurança Pública no Brasil.
Saímos do Carro Prata para um Sistema preventivo de Segurança Pública.",https://pbs.twimg.com/profile_images/1331381634176851969/s_Fp_KDy_mini.jpg,,,
Midia News Brasil,@MidiaNewsBR,2021-02-14T22:33:04.000Z,Anvisa vai vistoriar fábricas das vacinas Covaxin e Sputnik V em março - https://midianewscampogrande.com.br/2021/02/flavio/noticias/anvisa-vai-vistoriar-fabricas-das-vacinas-covaxin-e-sputnik-v-em-marco/109311/14/18/58/32/…,,https://pbs.twimg.com/media/EuOIABZXUAIyHAt?format=jpg&name=small,,,
mariotto,@mariottex,2021-02-15T22:04:55.000Z,imagens da minha vó tomando a vacina ,,https://pbs.twimg.com/media/EuTLJd8XYAUioa1?format=jpg&name=small,,,16
EL PAÍS Brasil,@elpais_brasil,2021-02-15T22:14:34.000Z,"Pela primeira vez a passarela desenhada por Oscar Niemeyer, no Rio, não receberá passistas nem carros alegóricos. Prejuízo com o cancelamento dos blocos e desfiles no país soma oito bilhões de reais. Por 
@naiaragg","Sambódromo abre alas para vacina, e ruas ficam vazias no Carnaval da pandemia
Pela primeira vez a passarela desenhada por Oscar Niemeyer, no Rio, não receberá passistas nem carros alegóricos. Prejuízo com o cancelamento dos blocos e desfiles no país soma oito bilhões de reais
brasil.elpais.com",https://pbs.twimg.com/card_img/1361438783233736706/UEzSbTCf?format=jpg&name=small,2,22,69
BandNews FM - Rio,@bandnewsfmrio,2021-02-15T23:22:02.000Z,Projeto de lei pode dar prioridade aos profissionais da educação na vacinação contra a Covid-19. A Assembleia Legislativa do Rio vota a proposta nesta quarta-feira (17). #Vacinação #BandNewsFM,"Projeto de lei pode dar prioridade aos profissionais da educação na vacinação contra a Covid-19
Um projeto de lei que dá prioridade aos profissionais da área da educação na campanha de vacinação contra a Covid-19 será votado nesta quarta-feira (17), na Assembleia Legislativa do Rio. A medida...
bandnewsfmrio.com.br",https://pbs.twimg.com/card_img/1361455696030670851/-m0W7Qaq?format=png&name=small,1,4,30
Henrique,@Henriq_cap,2021-02-15T22:18:25.000Z,Viva a vacina! Viva o serviço público! Não à reforma administrativa! #PEC32NAO,,https://pbs.twimg.com/media/EuTOPPzXUAcgvv_?format=jpg&name=small,44,221,403
Quebrando o Tabu,@QuebrandoOTabu,2021-02-15T22:55:58.000Z,"Tweet só para deixar todo mundo feliz com a notícia de que Drauzio Varella foi vacinado hoje.

E deixou um recado: ""confie na ciência, confie na vacina"".

Coração ficou quentinho aqui ",,https://pbs.twimg.com/media/EuTWJopXUAI-ldl?format=jpg&name=small,40,561,"8,6 mil"
Jornalismo TV Cultura,@jornal_cultura,2021-02-15T23:47:54.000Z,Médico recebeu o imunizante em um posto drive-thru de São Paulo. #drauzio #COVID19,"""Confie na ciência, confie na vacina"", escreve Drauzio Varella após ser vacinado contra a Covid-19
Médico recebeu o imunizante em um posto drive-thru de São Paulo, onde profissionais de saúde com mais de 60 anos são grupo prioritário
cultura.uol.com.br",https://pbs.twimg.com/card_img/1361459862824251395/RccM8Hod?format=jpg&name=small,,5,74
Judia,@JliaRgo2,2021-02-15T23:39:40.000Z,Como eu estaria se o corona não tivesse estragado tudo,,https://pbs.twimg.com/media/EuTg1N5WgAI2UTm?format=jpg&name=medium,1,,6
República do Medo,@Rdmcast,2021-02-15T22:52:40.000Z,"O terror Hunted, versão moderna e brutal do clássico da Chapeuzinho Vermelho  é divertido, violento e estranho. Mais um filme distribuído pelo canal Shudder que caminha para se consolidar como o melhor streaming de filmes de terror.

https://republicadomedo.com.br/critica-hunted/",,https://pbs.twimg.com/media/EuTWD6-XUAowZQs?format=jpg&name=small,,9,56
geovana,@94sjunqa,2021-02-15T23:57:19.000Z,"eu tava mo felizona quando medi minha altura na escola pensando q tinha 1,54, ai ano passado quando fui no postinho e mediu minha altura, 1,51...",,https://pbs.twimg.com/media/EuTk3_hXEAIyNei?format=jpg&name=small,,,
G1 - Rio,@g1rio,2021-02-15T22:39:42.000Z,Polícia investiga se houve peculato em casos de vacinação falsa no RJ https://glo.bo/3pstUMV,"Polícia investiga se houve peculato em casos de vacinação falsa no RJ
Estado registrou três casos em três municípios. Falsa imunização foi filmada por parentes, que reclamaram.
g1.globo.com",https://pbs.twimg.com/card_img/1361445114036580352/a9kXkp-n?format=jpg&name=small,3,18,55
G1 Rondônia,@g1rondonia,2021-02-15T22:16:00.000Z,Começa em Porto Velho aplicação da 2ª dose da vacina contra Covid-19 em profissionais da saúde ==> http://glo.bo/3rU6K3O #G1RO,"Aplicação da 2ª dose da vacina contra Covid-19 em profissionais da saúde começa em Porto Velho
Mais de 11 mil pessoas dos grupos prioritários foram vacinadas na capital.
g1.globo.com",https://pbs.twimg.com/card_img/1360733554624196609/OoATlBLZ?format=jpg&name=small,,,1
Portal Em Tempo,@portalemtempo,2021-02-15T22:20:08.000Z,Casos de reinfecção pelo novo coronavírus no AM são da variante P.1 http://mwl.press/AET291865,,https://pbs.twimg.com/media/EuTOoW5WgAcOXBO?format=jpg&name=small,,3,9
Emily,@emillyR___,2021-02-15T22:56:44.000Z,mdsss eu nem tinha parado pra pensar nisso corona tu me paga,"Comentar o Tweet
𝖊̈𝖔𝖟
@daivdbowie
 · 15 de fev
Infelizmente a pandemia tirou da gente a chance de ver o Fábio Jr no estúdio da Globo em noite de eliminação com uma camiseta com a cara do Fiuk",https://pbs.twimg.com/profile_images/1362813832641585156/MvyqnPnh_mini.jpg,,,
